fulfillment_id,order_id,fulfillment_status,fulfillment_date,warehouse_id,warehouse_name,picker_id,picker_name,packer_id,packer_name,shipping_method,tracking_number,carrier_name,estimated_delivery,actual_delivery,delivery_notes,quality_check_passed,temperature_controlled,hazardous_material,created_at
FUL89289,ORD89019,Packed,2025-06-12T08:55:14,WH004,Yanbu Storage Facility,PICK8184,Emily Schneider,PACK1219,Thomas Howell,Ground Transport,TRK-20534984,Aldrees Logistics,2025-10-08T03:59:08,,"Source summer expect north. Best real decide door easy cause face. Wall day magazine fish top play.
Red hear full short your pull human blue.",False,False,True,2025-10-04T23:50:28.034455
FUL22105,ORD83768,Delivered,2025-06-05T20:05:26,WH002,Jeddah Distribution Center,PICK2497,Chelsea Mata,PACK5413,Brianna Harris,Ground Transport,TRK-41054338,FedEx,2025-10-08T18:50:04,,Last ready actually receive today increase less. Town social everyone floor bit yes. Protect however hand scientist fund peace painting since.,True,False,True,2025-10-04T23:50:28.035448
FUL13516,ORD44929,Shipped,2025-03-17T23:41:52,WH002,Jeddah Distribution Center,PICK8341,Angela Flores,PACK7030,Christopher David,Ground Transport,TRK-21029588,Saudi Post,2025-10-10T07:48:23,,Fire best early economic night. Hear will big in down western. Me ability local big small room.,True,True,True,2025-10-04T23:50:28.036246
FUL56775,ORD13194,Delivered,2025-04-12T01:00:56,WH002,Jeddah Distribution Center,PICK6070,Anna Smith,PACK7868,Anthony Barnes,Bulk Transport,TRK-31573860,Saudi Post,2025-10-07T01:56:27,,"Receive interview cell perform find offer order. War mission central popular hear big race indeed.
Friend number than send law sea buy behind. People girl year choose.",True,True,False,2025-10-04T23:50:28.036910
FUL66680,ORD32362,Delivered,2025-05-10T17:14:16,WH003,Dammam Logistics Hub,PICK8427,Paula Walker,PACK9874,Nathaniel Watson,Refrigerated Transport,TRK-79254841,Aldrees Logistics,2025-10-10T10:12:35,,"System middle than possible. Student husband standard edge kid. Country space son girl wear management.
Game father visit alone list memory maybe. There amount husband spend next military total.",False,False,True,2025-10-04T23:50:28.037533
FUL70441,ORD26534,Delivered,2025-01-24T05:16:14,WH005,Jazan Regional Warehouse,PICK5991,Brian Payne,PACK4716,Ariel Pham,Express Delivery,TRK-95295637,Aramex,2025-10-10T06:47:46,,"I and area simple they somebody produce action.
Morning exactly line resource positive responsibility. Organization hope imagine.",True,False,True,2025-10-04T23:50:28.038111
FUL13359,ORD91640,Delivered,2025-05-16T15:00:29,WH005,Jazan Regional Warehouse,PICK2370,Michael Sims,PACK9174,Christopher Torres,Bulk Transport,TRK-57276373,DHL,2025-10-07T05:45:27,,"Cost music conference politics. Certain any ok catch movie fear member.
Law magazine key language throw. Loss record probably.",True,True,False,2025-10-04T23:50:28.038859
FUL81035,ORD31938,Shipped,2025-01-02T10:11:51,WH003,Dammam Logistics Hub,PICK6264,Shirley Atkinson,PACK7588,Tracy Pineda,Ground Transport,TRK-55558073,DHL,2025-10-11T10:37:20,,Seven would staff every perform attack. Sell toward drug more take lot. White stand interest role brother list market respond.,True,True,False,2025-10-04T23:50:28.039455
FUL19342,ORD23536,Delivered,2025-06-25T06:43:37,WH005,Jazan Regional Warehouse,PICK1752,Linda Hines,PACK4111,Scott Harrington,Ground Transport,TRK-47695642,Aldrees Logistics,2025-10-10T10:33:43,,Despite effect become real put always. Across my executive impact final every interesting. Tough though door range occur class. Role realize difference staff side generation.,True,True,False,2025-10-04T23:50:28.040057
FUL40984,ORD94821,Shipped,2025-06-13T21:32:06,WH001,Riyadh Central Warehouse,PICK1609,Katie Stephens,PACK6514,Lisa Navarro,Bulk Transport,TRK-87704251,Aramex,2025-10-06T01:57:40,,Trial center tell cultural computer keep chance. Some issue offer oil best suffer.,True,False,True,2025-10-04T23:50:28.040784
