maintenance_id,vehicle_id,maintenance_date,maintenance_type,technician_id,technician_name,depot_location,cost_sar,duration_hours,parts_replaced,mileage_at_service,next_service_due,warranty_expiry,service_notes,quality_rating,maintenance_categories,tools_used,safety_checks,environmental_impact,created_at
MNT64085,ALD5581,2025-04-05T19:37:50,Routine Service,TECH3427,Miranda Roberts,Haditha Depot,582.29,2.64,"['Fuel Pump', 'Coolant', 'Engine Oil']",330701,2025-08-25T19:37:50,2026-03-24T19:37:50,Land in claim media. Others customer consumer your purpose list me.,4.7,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': False, 'lights': False, 'tires': True, 'engine': True, 'transmission': False}","{'oil_waste_liters': 13.619487998156577, 'hazardous_waste_kg': 8.182785586231944, 'co2_emissions_kg': 188.75045422391383}",2025-10-04T21:14:50.012866
MNT88231,ALD5326,2025-04-25T04:44:44,Preventive Maintenance,TECH4993,Elizabeth Underwood,Yanbu Depot,1674.53,1.85,"['Engine Oil', 'Brake Pads', 'Fuel Pump']",208952,2025-10-10T04:44:44,2026-02-13T04:44:44,Head first relationship traditional set try. Marriage affect seem central plan red recently.,4.5,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': True, 'tires': True, 'engine': False, 'transmission': False}","{'oil_waste_liters': 19.19463197964528, 'hazardous_waste_kg': 5.6422722190873165, 'co2_emissions_kg': 181.5600577096432}",2025-10-04T21:14:50.013222
MNT27540,ALD4887,2025-02-12T13:54:54,Routine Service,TECH2300,Daniel Sanders,Dammam Depot,574.36,0.94,"['Alternator', 'Battery']",366207,2025-07-12T13:54:54,2025-11-29T13:54:54,Between production which eye rise control. Second ok director east movement issue clear. Me north able research later create history medical.,3.7,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': False, 'tires': True, 'engine': False, 'transmission': True}","{'oil_waste_liters': 8.856088620424451, 'hazardous_waste_kg': 1.8818708876503423, 'co2_emissions_kg': 185.51174012264906}",2025-10-04T21:14:50.013591
MNT50385,ALD6367,2025-03-20T08:10:01,Electrical Check,TECH4724,Matthew Wright,Jazan Depot,514.65,1.99,['Fuel Pump'],475135,2025-07-19T08:10:01,2025-12-01T08:10:01,Routine maintenance completed successfully,3.8,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': True, 'tires': True, 'engine': True, 'transmission': False}","{'oil_waste_liters': 10.48611100868926, 'hazardous_waste_kg': 4.8698595642255125, 'co2_emissions_kg': 190.59679113917738}",2025-10-04T21:14:50.014959
MNT96208,ALD8544,2025-03-28T21:32:19,Warranty Service,TECH5847,Teresa Cohen,Jazan Depot,1368.57,5.19,['Spark Plugs'],172304,2025-06-28T21:32:19,2026-03-16T21:32:19,Do catch on prove people claim everyone. Week risk close month rate size. Though usually run low past.,4.1,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': False, 'tires': False, 'engine': True, 'transmission': True}","{'oil_waste_liters': 7.678395488834605, 'hazardous_waste_kg': 6.952389613717542, 'co2_emissions_kg': 193.08767873275934}",2025-10-04T21:14:50.015687
MNT40816,ALD4219,2025-04-01T12:13:50,Annual Service,TECH4353,Michelle Larson,Jazan Depot,1312.28,2.62,"['Fuel Pump', 'Spark Plugs', 'Tires']",229440,2025-07-23T12:13:50,2025-08-18T12:13:50,"Baby sit site. Before capital surface traditional talk treatment organization.
Factor another official return.",4.6,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': False, 'tires': True, 'engine': True, 'transmission': True}","{'oil_waste_liters': 17.684911111735282, 'hazardous_waste_kg': 1.1597796453268467, 'co2_emissions_kg': 152.4863142509418}",2025-10-04T21:14:50.016136
MNT80707,ALD2868,2025-04-08T17:20:08,Transmission Service,TECH3344,Kristin Paul,Jazan Depot,958.98,4.26,"['Spark Plugs', 'Fuel Pump', 'Fuel Filter']",174976,2025-07-13T17:20:08,2025-10-03T17:20:08,Soldier for stop move. Executive yet enjoy new view world cup. Word week industry fire program. Instead agent another.,4.0,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': False, 'lights': True, 'tires': True, 'engine': False, 'transmission': False}","{'oil_waste_liters': 7.796939785472354, 'hazardous_waste_kg': 7.994411963583276, 'co2_emissions_kg': 139.17358258168036}",2025-10-04T21:14:50.016588
MNT62523,ALD5195,2025-01-31T00:00:54,Routine Service,TECH4658,Dustin Padilla,Haditha Depot,736.3,2.04,"['Engine Oil', 'Fuel Filter']",144501,2025-03-11T00:00:54,2026-01-05T00:00:54,Recently your cut table develop writer television stand. Year behavior human example. Explain try audience offer become.,4.2,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': False, 'lights': False, 'tires': True, 'engine': False, 'transmission': False}","{'oil_waste_liters': 10.950931307347652, 'hazardous_waste_kg': 8.920887967574886, 'co2_emissions_kg': 122.72416489152286}",2025-10-04T21:14:50.017000
MNT32362,ALD9175,2025-05-20T02:15:45,Annual Service,TECH2447,Tiffany Anderson,Dammam Depot,1875.89,1.97,"['Air Filter', 'Brake Pads', 'Starter Motor']",246378,2025-08-10T02:15:45,2026-02-14T02:15:45,Deep government account can. Week culture smile other site protect.,3.7,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': False, 'lights': True, 'tires': False, 'engine': True, 'transmission': True}","{'oil_waste_liters': 8.810544135729048, 'hazardous_waste_kg': 4.7915268689337465, 'co2_emissions_kg': 58.93088614643535}",2025-10-04T21:14:50.017369
MNT62430,ALD7900,2025-04-17T08:41:22,Warranty Service,TECH8421,Tracy Campbell,Jeddah Depot,400.58,1.95,"['Battery', 'Spark Plugs']",305185,2025-08-05T08:41:22,2025-09-30T08:41:22,Routine maintenance completed successfully,3.7,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': True, 'tires': False, 'engine': False, 'transmission': True}","{'oil_waste_liters': 11.109783010684316, 'hazardous_waste_kg': 2.417006766295245, 'co2_emissions_kg': 119.40793191357581}",2025-10-04T21:14:50.017619
