order_id,customer_id,order_date,order_status,payment_status,total_amount_sar,currency,order_type,priority,delivery_date,delivery_address,delivery_city,special_instructions,payment_terms,discount_percent,tax_amount_sar,shipping_cost_sar,created_by,approved_by,created_at,updated_at
ORD31054,CUST2259,2025-02-23T22:18:20,In Transit,Paid,13324.65,SAR,Petrochemicals,Medium,2025-10-22T04:33:13,"92787 Byrd Mall
East Cynthia, CT 25247",Jubail,Hazardous materials,Net 15,3.13,446.85,882.39,Kevin Thomas,Rebecca Clark,2025-10-04T23:50:06.866817,2025-10-04T23:50:06.866821
ORD48751,CUST7566,2025-03-07T07:34:37,Processing,Paid,96456.15,SAR,Bulk Fuel,High,2025-10-20T09:27:37,"9778 Baker Lights
East Laurafort, IN 16806",Jazan,Handle with care,Prepaid,14.4,192.67,228.73,Nancy Diaz,Nathan Mason,2025-10-04T23:50:06.868106,2025-10-04T23:50:06.868109
ORD21143,CUST1864,2025-01-10T02:18:07,Shipped,Paid,6165.4,SAR,Lubricants,High,2025-10-06T20:04:15,"4991 Roger Wells Suite 374
North Jamesborough, MA 94450",Abha,Temperature controlled,Net 15,9.41,442.43,911.5,Mr. Scott Warren,Brian Johnson,2025-10-04T23:50:06.869156,2025-10-04T23:50:06.869160
ORD25831,CUST8857,2025-03-04T23:30:27,Delivered,Paid,4545.59,SAR,Services,High,2025-10-23T12:47:02,"57702 Mary Shoal
North Robert, VI 21488",Dammam,Handle with care,Net 30,1.89,431.06,259.67,James Li,Corey Thomas,2025-10-04T23:50:06.869945,2025-10-04T23:50:06.869947
ORD74648,CUST2369,2025-04-24T06:12:14,Delivered,Pending,20870.67,SAR,Bulk Fuel,Low,2025-10-18T21:06:06,"USNV Smith
FPO AA 33349",Abha,Temperature controlled,Net 30,2.11,70.23,949.76,Mr. Matthew Rojas,Kyle Murphy,2025-10-04T23:50:06.870793,2025-10-04T23:50:06.870796
ORD77253,CUST4894,2025-04-07T04:57:55,In Transit,Overdue,56983.05,SAR,Bulk Fuel,Low,2025-10-19T03:40:20,"820 Brown Lane
East Ashley, FL 75155",Najran,Express delivery,COD,7.94,322.27,123.67,Holly Robinson,Alisha Murray,2025-10-04T23:50:06.872022,2025-10-04T23:50:06.872026
ORD81383,CUST4342,2025-05-28T11:24:19,Delivered,Paid,76614.41,SAR,Bulk Fuel,Medium,2025-10-27T20:05:22,"7968 Rangel Route Suite 932
Kerrishire, NC 71752",Jeddah,Hazardous materials,Net 15,14.53,324.27,375.61,Kristin Howard,Melanie Hill,2025-10-04T23:50:06.873069,2025-10-04T23:50:06.873070
ORD94918,CUST6702,2025-04-21T07:45:14,Delivered,Pending,1573.77,SAR,Services,Medium,2025-11-03T13:10:10,"190 Harris Course
Jamesport, MO 58462",Yanbu,Express delivery,COD,3.16,208.14,101.2,Marie Kelly,Christopher Moreno,2025-10-04T23:50:06.874094,2025-10-04T23:50:06.874096
ORD81144,CUST3882,2025-04-13T18:56:40,Delivered,Paid,47934.52,SAR,Bulk Fuel,High,2025-10-17T16:07:56,"399 Stevens Ways Apt. 778
Lake Hannahland, NC 62253",Hofuf,Temperature controlled,Net 30,6.27,432.44,170.04,Linda Fisher,James Fischer,2025-10-04T23:50:06.874877,2025-10-04T23:50:06.874878
ORD59602,CUST9853,2025-03-30T15:54:09,Delivered,Pending,3886.57,SAR,Fuel Delivery,Medium,2025-10-08T03:19:39,"14006 Hunter Centers Suite 748
East William, PA 65381",Taif,No special requirements,Net 15,8.4,286.95,865.51,Christopher Brown,Janet Bates,2025-10-04T23:50:06.883863,2025-10-04T23:50:06.883870
ORD36484,CUST7795,2025-05-25T12:28:08,Delivered,Paid,25140.17,SAR,Bulk Fuel,Medium,2025-10-28T06:54:39,"828 Evan Curve Suite 346
New Coreytown, FL 87916",Dammam,Handle with care,COD,12.07,362.03,418.77,Mary Peterson,Debra Andersen,2025-10-04T23:50:06.887218,2025-10-04T23:50:06.887222
ORD62803,CUST9338,2025-03-23T16:36:25,In Transit,Paid,16711.05,SAR,Bulk Fuel,Low,2025-10-12T15:14:42,"364 Stephanie Ridge Suite 676
Heathershire, LA 04863",Jubail,Hazardous materials,COD,14.84,326.34,451.72,Jennifer Malone,Mr. Nicholas Williamson,2025-10-04T23:50:06.889065,2025-10-04T23:50:06.889071
ORD88266,CUST2681,2025-06-05T05:36:27,Delivered,Paid,2356.22,SAR,Fuel Delivery,Low,2025-10-10T22:13:52,"11626 David Fields Apt. 992
Paigetown, NV 54657",Jubail,Express delivery,Prepaid,12.37,280.4,621.16,Amanda Elliott,Daniel Caldwell,2025-10-04T23:50:06.890377,2025-10-04T23:50:06.890380
ORD65805,CUST5514,2025-01-13T14:15:08,Delivered,Pending,15605.83,SAR,Petrochemicals,High,2025-10-27T15:43:53,"4084 Sanders Plains
East Todd, VI 29814",Dammam,No special requirements,Net 30,7.8,328.0,537.69,Joseph Glenn,Rebekah Roy,2025-10-04T23:50:06.891319,2025-10-04T23:50:06.891322
ORD23520,CUST2401,2025-03-29T14:47:18,Confirmed,Paid,6957.32,SAR,Petrochemicals,Medium,2025-10-18T04:13:12,"12205 Lee Bridge Suite 564
Frankland, AK 78907",Dammam,Handle with care,Prepaid,7.56,417.5,424.06,Derrick Williams,Elizabeth Bullock,2025-10-04T23:50:06.897850,2025-10-04T23:50:06.897855
ORD57670,CUST1851,2025-02-10T17:11:00,Delivered,Paid,1286.8,SAR,Fuel Delivery,High,2025-10-13T20:46:50,"43189 Jimenez Knolls Apt. 426
Pageside, CO 85144",Hofuf,Handle with care,Net 30,6.6,127.73,960.48,Jessica Johnson,Andrew Vasquez,2025-10-04T23:50:06.898848,2025-10-04T23:50:06.898851
ORD68191,CUST5931,2025-03-24T07:27:38,Delivered,Paid,76189.52,SAR,Bulk Fuel,Low,2025-11-01T01:36:45,"8909 Johnson Summit Apt. 412
Allenshire, KY 30604",Abha,Handle with care,Prepaid,14.47,297.64,878.05,Kyle Trevino,Valerie Aguilar,2025-10-04T23:50:06.900406,2025-10-04T23:50:06.900412
ORD15024,CUST3597,2025-04-25T03:36:16,Delivered,Pending,3193.44,SAR,Fuel Delivery,Low,2025-10-20T19:40:31,"59645 Deborah Ranch
Lloydport, PA 27702",Jeddah,Handle with care,Net 15,4.29,69.51,489.61,Renee Brown,Samuel Harrison,2025-10-04T23:50:06.902201,2025-10-04T23:50:06.902207
ORD76247,CUST9460,2025-06-29T01:05:52,Delivered,Paid,21563.5,SAR,Bulk Fuel,Low,2025-10-20T15:25:16,"7145 Kristen Locks
Mcknightside, RI 97150",Jeddah,Hazardous materials,Net 30,12.4,131.63,303.5,Christopher Herring,Mary Hernandez,2025-10-04T23:50:06.903435,2025-10-04T23:50:06.903438
ORD78261,CUST2904,2025-02-20T19:27:39,Delivered,Pending,14622.73,SAR,Petrochemicals,Medium,2025-10-09T22:05:10,"064 John Stravenue
Pattersonberg, MA 22652",Abha,Express delivery,Net 15,3.18,55.97,640.91,Lisa Hansen,Joshua Kirk,2025-10-04T23:50:06.904235,2025-10-04T23:50:06.904237
ORD13717,CUST3218,2025-04-05T10:04:09,Delivered,Paid,3543.43,SAR,Fuel Delivery,Low,2025-10-26T20:08:15,"05969 Jeremy Glen Suite 442
Robinland, VA 01009",Jeddah,No special requirements,Prepaid,4.03,184.32,124.92,Barbara Neal,Angela Madden,2025-10-04T23:50:06.904970,2025-10-04T23:50:06.904971
ORD29336,CUST4243,2025-04-26T23:28:44,Delivered,Paid,15251.78,SAR,Petrochemicals,High,2025-11-02T00:26:53,"3105 Mary Ports
New Kimberly, MO 71791",Hofuf,Handle with care,Prepaid,0.61,251.31,642.01,Gabrielle Moran,Jill Logan,2025-10-04T23:50:06.905710,2025-10-04T23:50:06.905711
ORD77867,CUST2901,2025-01-18T10:51:57,Delivered,Paid,4905.92,SAR,Fuel Delivery,Low,2025-11-03T09:45:20,"32545 Mercedes Knolls
Rebeccashire, IA 57440",Jazan,Handle with care,Prepaid,14.59,388.55,721.91,Courtney Crane,Lisa West,2025-10-04T23:50:06.906435,2025-10-04T23:50:06.906436
ORD89547,CUST6573,2025-03-16T04:21:02,In Transit,Partial,2271.77,SAR,Lubricants,Low,2025-10-13T06:56:54,"678 Cooper Orchard
Reidfort, PA 84387",Dammam,No special requirements,COD,11.7,368.44,496.46,Christian York,Nicholas Ponce,2025-10-04T23:50:06.907161,2025-10-04T23:50:06.907162
ORD53006,CUST4759,2025-01-28T08:09:17,Delivered,Paid,65025.07,SAR,Bulk Fuel,Medium,2025-10-21T21:50:38,"0763 Wu Village Apt. 117
South Samuel, PA 85623",Abha,Express delivery,COD,4.11,350.3,856.2,Mary Davidson,Jonathan Wright,2025-10-04T23:50:06.907876,2025-10-04T23:50:06.907877
ORD70666,CUST9653,2025-06-26T17:19:27,Delivered,Pending,15914.22,SAR,Petrochemicals,Low,2025-10-10T13:17:31,"977 Gomez Pike
Jeffstad, OR 30236",Abha,Temperature controlled,Net 30,7.95,99.62,152.99,Patrick Ramirez,Cynthia Hampton,2025-10-04T23:50:06.908577,2025-10-04T23:50:06.908579
ORD40905,CUST6351,2025-05-27T22:55:46,Delivered,Paid,6696.74,SAR,Lubricants,Medium,2025-10-22T15:19:12,"2563 Ewing Wells Apt. 072
West Kimberlyview, IA 86779",Jazan,Handle with care,Net 15,14.5,375.03,390.84,Robert Rios,Ashley Manning,2025-10-04T23:50:06.914998,2025-10-04T23:50:06.915003
