supplier_id,supplier_name,contact_person,phone,email,address,city,country,supplier_type,credit_rating,payment_terms,lead_time_days,quality_rating,on_time_delivery_rate,total_orders,total_value_sar,certifications,created_at
SUP1919,MAN Parts,Kristen Hooper,+1-329-772-7497x68084,lauracole@example.com,"7755 Cooper Squares Suite 140
East Ruben, WY 99293",Dammam,Saudi Arabia,Parts Supplier,B+,Prepaid,7,4.6,0.914,200,8111439.7,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.287239
SUP6323,MAN Parts,William Walker,(551)507-0189x26334,rjackson@example.com,"56161 Stephanie Hill Suite 760
West William, ID 77288",Dammam,Saudi Arabia,Parts Supplier,A,Prepaid,20,4.0,0.972,719,7514429.8,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.287893
SUP3407,BP,Kimberly Greene,(584)286-3058,nathanhopkins@example.com,"65027 Maria Canyon Apt. 715
North Kellymouth, AZ 53361",Dammam,Saudi Arabia,Fuel Supplier,B+,Net 30,21,4.2,0.959,638,6634752.11,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.288675
SUP4042,Aramco,David Wilson,6137942569,rachelgraham@example.net,"8296 Evans Junction
Port Marcustown, NM 01782",Riyadh,Qatar,Fuel Supplier,B+,Net 15,12,3.6,0.864,787,6842623.27,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.290120
SUP6701,Safety Equipment,Amanda Wang,+1-494-704-2672x876,smithsummer@example.com,"42325 Andrew Trail
Doughertyside, AS 19798",Kuwait,UAE,Equipment Supplier,B,Net 30,24,4.4,0.966,214,2130902.53,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.291466
SUP6381,BP,Eric Matthews,933.829.5911x597,daniel76@example.org,"524 Frank Highway Suite 163
Isabellaland, VT 71449",Dammam,Qatar,Fuel Supplier,B+,Prepaid,2,4.5,0.853,735,813636.15,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.297993
SUP8185,Distribution,Michelle Bowen,2039888206,joanndavis@example.com,"30673 Jennifer Crossing
New Lindseyfurt, NH 23922",Dubai,Kuwait,Logistics Partner,A,Net 30,18,4.1,0.952,230,3322336.84,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.300151
SUP1586,Safety Equipment,Michelle Wilson,+1-912-297-8261,richardmonroe@example.org,"711 Lindsey Pine Suite 540
Martinezberg, NJ 93015",Riyadh,Bahrain,Equipment Supplier,A+,Prepaid,25,3.9,0.855,650,9583620.03,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.302161
SUP9448,Safety Equipment,Greg Cook,617-360-3640x93772,christopheryoung@example.org,"538 Merritt Knolls
South Katherinemouth, MP 15049",Dammam,UAE,Equipment Supplier,B+,Net 15,13,3.9,0.964,347,5838260.91,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.303575
SUP4465,Warehousing,Monica Wilson PhD,833-585-4116x0519,cherryrobert@example.com,"7595 Ortiz Brooks Suite 888
Lake Shaneborough, FL 15946",Dubai,Saudi Arabia,Logistics Partner,B,Net 15,27,4.4,0.886,623,1150742.84,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.306732
SUP7494,Heavy Equipment,Paul Martinez,376.329.5123,leecourtney@example.net,"08285 Sharon Tunnel
Leeshire, UT 17401",Riyadh,Qatar,Equipment Supplier,A,COD,27,4.6,0.948,382,4150940.34,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.308179
SUP8335,Maintenance Services,Alexander Mcdonald,747.836.7379,marshalljessica@example.com,"2372 Richard Throughway Suite 593
South Danaton, VI 08270",Dammam,Qatar,Service Provider,A+,Prepaid,23,4.0,0.957,55,2220180.1,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.324432
SUP2648,Safety Equipment,Joshua Davis,489.900.5211,nguyendeanna@example.net,"1856 Kent Port
Wernerland, VI 23361",Jeddah,Qatar,Equipment Supplier,B,Net 15,23,4.6,0.969,35,722267.31,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.335698
SUP9346,MAN Parts,James Wagner DDS,910.536.0549x709,blackashley@example.com,"357 Evans Summit Apt. 019
Ortegatown, AL 47057",Dammam,UAE,Parts Supplier,B,Net 15,19,4.6,0.954,497,4601404.57,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.338798
SUP1307,Consulting Services,Caleb Moore,906.289.6731x69986,gabrielle81@example.net,"750 Kimberly Estate
Brownchester, OK 63756",Dubai,UAE,Service Provider,A+,Prepaid,18,4.3,0.94,336,7631991.52,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.340282
SUP8741,Iveco Parts,Stephen Palmer,567-755-4749x37308,salinasemily@example.org,"510 Sarah Lodge
Spencershire, KY 67241",Dubai,Saudi Arabia,Parts Supplier,B+,Net 15,13,4.0,0.912,544,3103972.76,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.347547
SUP4447,Technology Equipment,Christian Shaffer,9239530218,welchronald@example.com,"63102 Braun Place
Steelemouth, OK 47090",Dubai,UAE,Equipment Supplier,B,COD,14,5.0,0.941,768,2939607.05,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.355355
SUP3006,Distribution,Joseph Bell,307-418-2446x1066,elizabeth58@example.com,"183 Long Plains
Maryberg, NH 45899",Kuwait,Qatar,Logistics Partner,C,Net 15,17,4.2,0.979,593,6521507.21,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.358058
SUP2477,Scania Parts,Dustin Zamora,203.564.1398,hkelly@example.org,"77502 Smith Wells Suite 039
Johnland, AK 59252",Riyadh,Kuwait,Parts Supplier,B,Prepaid,21,4.2,0.942,861,9144002.28,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.362529
SUP4120,MAN Parts,David Brown,(883)982-3522,lauren33@example.net,"7797 Megan Run
Port Kevin, OK 28589",Dubai,Bahrain,Parts Supplier,B+,COD,3,4.0,0.975,586,554126.53,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.364457
SUP5845,Heavy Equipment,Andrea Martin,878-655-5827,aleon@example.org,"095 Alvarez Green Suite 758
Kleinville, PW 10059",Riyadh,Qatar,Equipment Supplier,B,Net 30,23,4.5,0.909,594,6903351.01,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.370540
SUP8930,MAN Parts,Holly Hampton,+1-638-377-1129x54085,alexander10@example.net,"08354 Vanessa Flats Suite 384
Jacobmouth, MN 14708",Kuwait,Saudi Arabia,Parts Supplier,A+,Net 15,12,4.1,0.882,637,329181.4,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.371745
SUP4211,Safety Equipment,Stephanie Williams,4222098048,ethanwilliams@example.com,"9312 Amber Point Apt. 840
Lake Chelsea, LA 69115",Kuwait,Qatar,Equipment Supplier,A,Net 15,1,4.0,0.945,975,1773941.63,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.372853
SUP6070,Logistics Services,Ariel Ross,392-617-4844,ehernandez@example.net,"827 Mark Drive Suite 988
Josephfort, MI 76476",Doha,Bahrain,Service Provider,A+,COD,15,4.8,0.94,270,7695500.34,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.374177
SUP5319,Distribution,Lindsey Carter,(739)268-8702x88645,george91@example.com,"4444 Cuevas Forge Suite 119
Emilyhaven, MO 39325",Dubai,UAE,Logistics Partner,B+,Prepaid,2,4.6,0.977,541,1715130.23,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.377406
SUP9897,Warehousing,Heather Wilson,(803)665-0007x384,kellyjohnson@example.net,"59579 Derrick Ridge
North Betty, OR 06364",Dammam,UAE,Logistics Partner,B+,Net 15,14,3.9,0.922,654,5801166.05,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.380117
SUP2436,Mercedes Parts,Jeffrey Curry,964.768.9349x667,rosssarah@example.com,"7742 Yvonne Forges Apt. 429
East Craig, WA 82225",Riyadh,UAE,Parts Supplier,B,Net 15,20,4.9,0.963,854,8799497.4,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.381848
SUP9009,Scania Parts,Eric Bradford,(339)812-7949,brookeshort@example.net,"5535 Cameron Pines Suite 675
East Rachel, MT 51123",Riyadh,Bahrain,Parts Supplier,B,Net 15,5,4.9,0.865,451,3175952.6,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.383842
SUP3262,Scania Parts,Chad Mercado,+1-379-628-9641x83851,omccoy@example.net,"0675 King Terrace Suite 240
East Mindy, MP 93076",Doha,Kuwait,Parts Supplier,C,Prepaid,8,4.6,0.866,101,6185398.9,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.385441
SUP9278,Distribution,Carla Moon,(782)992-2864,laurenmorris@example.org,"7609 Michael Points Suite 451
Kimberlymouth, FL 57108",Doha,Kuwait,Logistics Partner,A+,COD,26,4.6,0.917,178,9503730.67,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.386753
SUP4939,Total,Jo Garcia,+1-891-875-1912x1630,ywright@example.com,"79763 Rachel Island
Jamesport, MS 44305",Kuwait,UAE,Fuel Supplier,B+,COD,3,3.7,0.964,80,7949339.89,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.388351
SUP3169,MAN Parts,Lori Thomas,(938)453-1655x7383,ashleygoodwin@example.org,"742 Morgan Passage
Peckside, CA 79365",Doha,Saudi Arabia,Parts Supplier,A+,Prepaid,9,4.3,0.864,722,9038179.24,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.390769
SUP9704,Heavy Equipment,Richard Wilson,+1-705-636-4292,heather24@example.net,"67608 Johnathan Viaduct
South Elizabeth, VT 92231",Kuwait,Qatar,Equipment Supplier,B,Net 30,15,4.3,0.856,642,9191019.63,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.391528
SUP9851,Transportation,Anthony Avila,001-717-441-5269x52264,bryancarla@example.org,"Unit 7780 Box 1736
DPO AP 39142",Doha,Kuwait,Logistics Partner,C,Net 15,19,4.0,0.979,932,2394709.17,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.398904
SUP2680,Maintenance Services,Donald Mckinney,(745)375-8420x388,jbarr@example.com,"7041 Guzman Expressway Suite 012
Griffinchester, SD 38528",Doha,Bahrain,Service Provider,A,Net 30,26,4.5,0.86,633,7963762.82,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.401353
SUP6187,Volvo Parts,Cynthia Garza,796.560.8389x1476,jennifer92@example.net,"73651 Johnson Key Suite 505
Duranberg, FM 26922",Kuwait,Kuwait,Parts Supplier,B,Net 15,13,4.7,0.855,703,8399734.73,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.403450
